#i cr sl tb dcc spigot  fiber fibcha  subdet  ieta  iphi  depth
420075C 45  1 u 0 0 20 0 HB 20 6 2
420075C 45  1 u 0 0 20 1 HB 22 5 2
420075C 45  1 u 0 0 20 2 HB 18 11 4
420075C 45  1 u 0 0 20 3 HB 17 6 2
420075C 45  1 u 0 0 20 4 HB 20 6 1
420075C 45  1 u 0 0 20 5 HB 22 5 1

420075C 45  1 u 0 0 21 0 HB 24 5 1
420075C 45  1 u 0 0 21 1 HB 21 6 1
420075C 45  1 u 0 0 21 2 HB 18 6 2
420075C 45  1 u 0 0 21 3 HB 16 6 2
420075C 45  1 u 0 0 21 4 HB 24 5 2
420075C 45  1 u 0 0 21 5 HB 21 6 2

