#Phase-2 Materials Map           
#i cr sl tb dcc spigot fiber fibcha subdet ieta iphi depth  
1192 61 1 u 0 0 4 1 HE 1 4 1 
1192 61 1 u 0 0 4 2 HE 1 4 2 
1192 61 1 u 0 0 4 3 HE 1 4 3 
1192 61 1 u 0 0 4 4 HE 1 4 4 
1192 61 1 u 0 0 4 5 HE 1 4 5 
1192 61 1 u 0 0 5 0 HE 1 5 0 
1192 61 1 u 0 0 5 1 HE 1 5 1 
1192 61 1 u 0 0 5 2 HE 1 5 2 
1192 61 1 u 0 0 5 3 HE 1 5 3 
1192 61 1 u 0 0 5 4 HE 1 5 4 
1192 61 1 u 0 0 5 5 HE 1 5 5 
1192 61 1 u 0 0 6 0 HE 1 6 0 
1192 61 1 u 0 0 6 1 HE 1 6 1 
1192 61 1 u 0 0 6 2 HE 1 6 2 
1192 61 1 u 0 0 6 3 HE 1 6 3 
1192 61 1 u 0 0 6 4 HE 1 6 4 
1192 61 1 u 0 0 6 5 HE 1 6 5 
1192 61 1 u 0 0 7 0 HE 1 7 0 
1192 61 1 u 0 0 7 1 HE 1 7 1 
1192 61 1 u 0 0 7 2 HE 1 7 2 
1192 61 1 u 0 0 7 3 HE 1 7 3 
1192 61 1 u 0 0 7 4 HE 1 7 4 
1192 61 1 u 0 0 7 5 HE 1 7 5 
1192 61 1 u 0 0 8 0 HE 1 8 0 
1192 61 1 u 0 0 8 1 HE 1 8 1 
1192 61 1 u 0 0 8 2 HE 1 8 2 
1192 61 1 u 0 0 8 3 HE 1 8 3 
1192 61 1 u 0 0 8 4 HE 1 8 4 
1192 61 1 u 0 0 8 5 HE 1 8 5 
1192 61 1 u 0 0 9 0 HE 1 9 0 
1192 61 1 u 0 0 9 1 HE 1 9 1 
1192 61 1 u 0 0 9 2 HE 1 9 2 
1192 61 1 u 0 0 9 3 HE 1 9 3 
1192 61 1 u 0 0 9 4 HE 1 9 4 
1192 61 1 u 0 0 9 5 HE 1 9 5 
1192 61 1 u 0 0 10 0 HE 1 10 0 
1192 61 1 u 0 0 10 1 HE 1 10 1 
1192 61 1 u 0 0 10 2 HE 1 10 2 
1192 61 1 u 0 0 10 3 HE 1 10 3 
1192 61 1 u 0 0 10 4 HE 1 10 4 
1192 61 1 u 0 0 10 5 HE 1 10 5 
1192 61 1 u 0 0 11 0 HE 1 11 0 
1192 61 1 u 0 0 11 1 HE 1 11 1 
1192 61 1 u 0 0 11 2 HE 1 11 2 
1192 61 1 u 0 0 11 3 HE 1 11 3 
1192 61 1 u 0 0 11 4 HE 1 11 4 
1192 61 1 u 0 0 11 5 HE 1 11 5 
1192 61 1 u 0 0 12 0 HE 1 12 0 
1192 61 1 u 0 0 12 1 HE 1 12 1 
1192 61 1 u 0 0 12 2 HE 1 12 2 
